review_id,relationship_id,ale_model,hpe_aruba_model,recommendation,priority,evidence_integrity,environment_evidence,poe_evidence,key_deviation_assessment,procurement_validation_questions,rationale
"01","rel_545f817cb78bcc7b9d045b9e","OS6360-P24","HPE Aruba Networking CX 6100 24G Class4 PoE 4SFP+ 370W Switch","downgrade_to_partial","P2：先验证偏离项","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行接口存在 1G/10G 与 1G/10G SFP 的表述差异，且 PoE 预算存在 180W 与 370W 的差异，对直接替代构成影响。","1. 实际下行设备的 PoE 总功耗是否在原 180W 预算内，还是需要 Aruba 的 370W 供电能力？；2. 上行接口的 1G/10G 与 1G/10G SFP 兼容性及光模块配置如何验证？；3. 环境字段的待复核状态如何通过官方部署文档进行补充核验？","基于受控硬门槛和证据状态的中性审阅，该关系的核心技术指标如表单因子、下行介质、端口数及下行速率均已通过验证，但环境字段仍处于待复核状态。鉴于上行接口及 PoE 功率预算存在明显差异（180W ↔ 370W），这些差异使得该型号组合不宜直接进行一对一无条件替代。为确保项目平稳实施与配置合规，审阅建议将其降级为部分替代，并在采购和部署阶段进行专项核验与管理。"
"02","rel_770e0c625957de6d1b4f1228","OS6360-P24","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP 370W Switch","downgrade_to_partial","P2：先验证偏离项","决定性硬门槛已核验；环境字段待复核","至少一方待复核","双方已核验","上行接口速率与 PoE 预算存在显著差异，上行从 1G/10G 变为 100M/1G，PoE 从 180W 变为 Up to 370W，这些上行与 PoE 差异妨碍了一对一替代。","1. 核实 HPE Aruba CX 6200F 24G 4SFP 的 100M/1G 上行端口是否满足项目对 10G 速率的上行需求；2. 核实两款设备在 PoE 功率预算（180W ↔ Up to 370W）下的实际供电能力是否满足终端部署要求；3. 核实园区网部署环境的实际运行参数与合规性要求。","本记录针对 ALE OS6360-P24 与 HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP 370W Switch 的受控关系进行了审阅。虽然形态、下行介质、下行端口数、下行速率及 PoE 支持等硬门槛已核验通过，但环境字段仍处于待复核状态。由于关键偏离显示上行接口（1G/10G ↔ 100M/1G）及 PoE 预算（180W ↔ Up to 370W）存在实质性差异，导致该型号组合在实际部署中不宜进行无条件的一对一替代。因此，基于受控硬门槛及关键偏离分析，建议将该关系调整为部分替代，并通过采购验证问题对上行与 PoE 性能进行核验。"
"03","rel_f8c0cc1ac6c050f8af87c79e","OS6360-P24","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行链路（1G/10G与1/10G）与PoE预算（180W与370W）存在关键偏离，属于可管理的配置与供电差异，不阻碍一对一替代。","1. 确认部署环境是否满足园区网应用场景；2. 核实370W PoE预算与上行光模块兼容性是否符合实际供电与组网需求。","基于受控硬门槛和证据状态，该型号组合的形态、下行介质、端口数量、下行速率频段及PoE支持等决定性硬门槛均已核验且适配，仅环境字段处于待复核状态。关键偏离涉及上行链路（1G/10G ↔ 1/10G）及PoE预算（180W ↔ 370W），由于Aruba型号提供了兼容的供电与上行规格，相关差异可通过采购阶段的实际配置与供电核验进行管理，不影响整体一对一替代。因此形成维持直接候选关系的审阅建议。"
"04","rel_2facd4568ee0632a289c5411","OS6360-P24","HPE Aruba Networking CX 6200F 24G Class4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行链路支持1G/10G互通，端口数均为24口，PoE预算存在180W与370W的差异，该差异可作为采购验证项管理，不阻碍一对一替代。","1. 现场实际PoE供电总需求是否在180W以内或需利用370W高预算；2. 上行SFP+光模块及连接线缆是否满足实际组网带宽需求。","基于受控硬门槛与现有证据链，双方型号在固定形态、下行介质、24口下行端口数、下行速率以及PoE支持等决定性硬门槛上均已完成核验且适配。虽然上行链路与PoE预算（180W对370W）存在数值差异，但由于Aruba型号提供更高功率预算且上行满足1G/10G，该差异可作为采购验证项进行管理，不影响设备的一对一替代能力。综合评估决定性硬门槛已核验适配，建议维持直接候选关系。"
"05","rel_57dbf6e76db15d98b3bd1e9f","OS6360-P24","HPE Aruba Networking CX 6200M 24G Class4 PoE 4SFP+ Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行链路均为 1G/10G 规格且相互适配；PoE 预算存在 180W 与 740W 差异，该功率及上行差异可作为采购验证项管理，不阻碍一对一替代。","1. 建议向官方资料核验上行接口兼容性及光/电模块配置；2. 建议核对现场下行受电设备的实际 PoE 功耗需求是否在 180W 至 740W 预算范围内。","基于受控硬门槛和证据状态审阅，该直接候选关系（OS6360-P24 对应 HPE Aruba Networking CX 6200M 24G Class4 PoE 4SFP+ Switch）的决定性硬门槛（形态、下行介质、下行端口数、下行速率带、PoE 支持）均已核验通过并适配，仅环境字段待复核。关键偏离主要表现为上行（1G/10G 相互适配）与 PoE 预算（180W 对 740W），其中 Aruba 侧 PoE 预算更高，能够完全覆盖并满足原设备的供电需求。上述差异均可作为采购验证项进行有效管理，不妨碍设备间的一对一替代。因此，建议维持直接候选关系，并在后续采购与配置阶段对上行接口及实际供电预算进行核验。"
"06","rel_a2e63f194d853afb65bb0062","OS6360-P24X","HPE Aruba Networking CX 6100 24G Class4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行接口形态与 PoE 预算存在微小差异，但不妨碍一对一替代，可作为采购验证项管理。","1. 需核实 Aruba CX 6100 的上行模块兼容性与光/电配置是否满足现场网络拓扑要求；2. 需确认现场终端实际总功耗是否符合 Aruba CX 6100 的 370W PoE 预算（相比 ALE OS6360-P24X 的 380W 略有不同）。","基于受控硬门槛及证据状态，该关系在形态、下行介质、端口数、下行速率及 PoE 支持等核心硬门槛上均已通过验证且完全匹配，环境字段处于待复核状态。上行接口（1G/10G 与 1G/10G SFP）及 PoE 预算（380W 与 370W）的偏离属于可控范围，不构成一对一替代的实质性障碍。因此，建议维持直接候选关系，并通过采购验证对上行配置与功耗边界进行复核。"
"07","rel_cf0ca25f112497cf24729b40","OS6360-P24X","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP 370W Switch","downgrade_to_partial","P2：先验证偏离项","硬门槛基本完整；环境字段待复核","至少一方待复核","双方已核验","上行链路（1G/10G与100M/1G）与PoE预算（380W与Up to 370W）存在差异，妨碍无条件的一对一替代。","1. 核验两款设备的上行链路速率与端口形态（1G/10G与100M/1G）是否满足实际组网需求；2. 核验PoE供电预算（380W与Up to 370W）在满载工况下的供电裕度；3. 核验部署环境硬门槛的官方认证状态。","基于受控输入记录，该直接候选关系在下行介质、下行端口数、下行速率带及PoE支持等硬门槛上已验证通过，但环境硬门槛处于待复核状态。关键偏离表明上行链路与PoE预算存在实质性差异。鉴于上述上行、PoE差异及环境字段尚未完全核验，该型号组合不宜进行无条件的一对一替代，故审阅建议降级为部分替代，并在采购前完成相关验证。"
"08","rel_c3d1dcfe87ee4505d5609727","OS6360-P24X","HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行接口均为 1G/10G 规格，PoE 供电预算分别为 380W 与 370W，差异较小，不妨碍一对一替代。","1. 核实部署环境是否完全符合园区网（campus）规范要求；2. 确认设备上行 1G/10G 模块配置及 PoE 370W 预算是否满足实际供电与带宽需求。","基于受控硬门槛核验结果，该组候选关系在形态、下行介质、下行端口数、下行速率及 PoE 支持等核心硬门槛上均已通过验证且完全适配，仅环境字段处于待复核状态。关键偏离方面，ALE OS6360-P24X 与 HPE Aruba Networking CX 6200F 24G Class-4 PoE 4SFP+ 370W Switch 在上行链路（1G/10G ↔ 1/10G）和 PoE 预算（380W ↔ 370W）上存在极小差异。鉴于核心硬门槛适配且差异可作为采购验证项进行管理，建议维持直接候选关系。"
"09","rel_4b68b7c120e93b245f7c034d","OS6360-P24X","HPE Aruba Networking CX 6200F 24G Class4 PoE 4SFP+ 370W Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行规格基本匹配（1G/10G ↔ 1/10G），PoE 预算差异极小（380W ↔ 370W），未妨碍一对一替代。","1. 核对两款设备在实际组网中的上行接口模块（1G/10G SFP+）兼容性；2. 确认现场实际 PoE 负载是否在双方标称预算（380W/370W）范围内。","本关系的核心硬门槛（形态、下行介质、端口数、速率、PoE支持）均已通过充分的证据核验，仅环境适用性字段尚待复核。针对上行（1G/10G ↔ 1/10G）与 PoE 预算（380W ↔ 370W）的关键偏离，由于两者规格高度吻合且差异极微，不会对实际一对一替代造成实质性功能阻碍。基于受控硬门槛和证据状态，建议保持直接候选关系，并通过采购环节对上行模块与 PoE 功率进行最终核验。"
"10","rel_5483a2c773f53b42a9a75d63","OS6360-P24X","HPE Aruba Networking CX 6200M 24G Class4 PoE 4SFP+ Switch","keep_direct_candidate","P3：可进入人工审核","硬门槛完整；环境字段待复核","至少一方待复核","双方已核验","上行均为1G/10G规格，PoE预算存在380W与740W的差异，属于可作为采购验证项管理的配置偏差，不阻碍一对一替代。","1. 核验HPE Aruba CX 6200M在740W PoE预算下的电源配置及现网供电需求是否匹配；2. 核验双方设备的上行接口模块（1G/10G SFP+）兼容性及现网光模块选型。","基于受控硬门槛和证据状态分析，该关系的形态、下行介质、端口数量、速率带宽以及PoE支持等核心硬门槛均已通过验证且适配（outcome为pass），仅环境字段处于待复核状态。关键偏离涉及上行（1G/10G ↔ 1/10G）与PoE预算（380W ↔ 740W）。由于HPE Aruba交换机提供的740W PoE预算能够满足或覆盖ALE设备的需求，且上行能力兼容，相关差异完全可以通过采购阶段的供电规划和接口配置核验进行管理，符合直接候选关系的保持条件。"
